,dt,sstlat,tid,clat,clon,psmin,rp,dp,zp,exppr
1716,0007-10-07 00:00:00,12.0,2413776,-8.247212,358.5,,,,,
1717,0007-10-07 00:00:00,12.0,2413778,-10.490559,87.542704,,,,,
1718,0007-10-07 00:00:00,12.0,2413780,15.790043,229.292582,1009.0365910864999,99670.58823529413,488.9965397923876,10067.796610169491,1.0755294117647058
1719,0007-10-08 00:00:00,12.0,2414257,-9.851155,351.542698,,,,,
1720,0007-10-08 00:00:00,12.0,2414259,6.673447,16.5,1012.830176322,73270.58823529411,335.66782006920425,10745.762711864407,1.0755294117647058
1721,0007-10-08 00:00:00,12.0,2414320,17.431998,220.707445,1001.55901478,163858.82352941178,1296.5813148788927,6000.0,1.0755294117647058
1722,0007-10-12 00:00:00,11.5,2416070,18.119635,204.0,1005.3701124716999,215623.52941176473,1296.5813148788927,8372.881355932204,1.0755294117647058
1723,0007-10-15 00:00:00,12.0,2417404,-6.749427,90.75,,,,,
1724,0007-10-15 00:00:00,12.0,2417405,-8.703121,261.75,,,,,
1725,0007-10-16 00:00:00,11.5,2417850,-6.995139,114.957307,,,,,
1726,0007-10-17 00:00:00,11.5,2418293,-8.605259,111.0,,,,,
1727,0007-10-18 00:00:00,11.5,2418765,12.828049,291.0,1010.7523284449001,306729.4117647059,614.2283737024222,6000.0,1.1696470588235293
1728,0007-10-19 00:00:00,11.5,2419296,17.847749,97.707318,1009.7103888626,164376.47058823527,809.3010380622837,9389.830508474577,1.0755294117647058
1729,0007-10-19 00:00:00,11.5,2419377,27.44496,80.792638,1012.9917739588001,112611.76470588236,530.7404844290659,6000.0,1.0755294117647058
1730,0007-10-20 00:00:00,11.5,2419859,16.797538,118.5,1009.3802157024,298812.4567474048,572.484429065744,9559.322033898305,1.0755294117647058
1731,0007-10-21 00:00:00,11.0,2420363,-7.976123,33.542732,,,,,
1732,0007-10-21 00:00:00,11.0,2420365,-7.48882,24.957309,,,,,
1733,0007-10-21 00:00:00,11.0,2420367,8.744948,227.457251,1007.8939431665999,112094.11764705881,593.3564013840831,6000.0,1.0755294117647058
1734,0007-10-22 00:00:00,11.0,2420882,16.744989,101.042738,1007.7974100959999,306729.4117647059,871.916955017301,11762.71186440678,1.0755294117647058
1735,0007-10-23 00:00:00,11.0,2421402,8.220935,30.75,1009.0617146168,73270.58823529411,530.7404844290659,8542.372881355932,1.0755294117647058
1736,0007-10-23 00:00:00,11.0,2421474,19.975822,108.75,1006.6326796394001,229082.35294117648,1192.2214532871972,8203.389830508475,1.0755294117647058
1737,0007-10-23 00:00:00,11.0,2421541,-8.197002,173.457289,,,,,
1738,0007-10-24 00:00:00,11.5,2421989,17.810028,116.25,1000.8798223138999,115260.89965397923,1658.6297577854673,6000.0,1.0755294117647058
1739,0007-10-25 00:00:00,11.5,2422511,16.126916,12.54274,1009.7352420112001,251797.92387543255,851.0449826989619,11593.22033898305,1.0755294117647058
1740,0007-10-26 00:00:00,11.0,2423027,-8.566207,198.0,,,,,
1741,0007-10-27 00:00:00,11.0,2423477,22.892042,208.707456,1012.6459395454,112094.11764705881,614.2283737024222,11254.237288135593,1.0755294117647058
1742,0007-11-02 00:00:00,11.0,2426159,15.494036,234.75,1003.2428187173999,254964.70588235295,830.1730103806228,16000.0,1.0755294117647058
1743,0007-11-03 00:00:00,10.5,2426738,-7.466047,194.457302,,,,,
1744,0007-11-03 00:00:00,10.5,2426740,-6.942543,183.75,,,,,
1745,0007-11-03 00:00:00,10.5,2426742,17.599931,229.292552,1004.0036534473,254964.70588235295,1129.6055363321798,6000.0,1.0755294117647058
1746,0007-11-04 00:00:00,11.0,2429655,-8.279691,203.25,,,,,
1747,0007-11-04 00:00:00,11.0,2429658,-8.249303,179.25,,,,,
1748,0007-11-05 00:00:00,11.0,2438564,18.730036,62.042599,1012.1817505866,150643.59861591694,530.7404844290659,8372.881355932204,1.0755294117647058
1749,0007-11-05 00:00:00,11.0,2438634,-12.085925,195.75,,,,,
1750,0007-11-05 00:00:00,11.0,2438636,-10.439798,173.7927,,,,,
1751,0007-11-06 00:00:00,11.0,2439178,-10.807157,168.0,,,,,
1752,0007-11-07 00:00:00,11.0,2440798,-10.182739,161.792687,,,,,
1753,0007-11-07 00:00:00,11.0,2440800,17.618437,192.207332,1011.2976966628,293270.5882352941,593.3564013840831,6000.0,1.0755294117647058
1754,0007-11-08 00:00:00,10.5,2441419,-10.256187,155.457265,,,,,
1755,0007-11-08 00:00:00,10.5,2441421,-6.996715,140.792683,,,,,
1756,0007-11-08 00:00:00,10.5,2441423,-9.638487,225.95724,,,,,
1757,0007-11-09 00:00:00,10.5,2444122,-12.131501,149.25,,,,,
1758,0007-11-10 00:00:00,10.5,2446173,13.946213,114.0,1011.6619041965,187092.04152249137,530.7404844290659,12271.186440677966,1.0755294117647058
1759,0007-11-10 00:00:00,10.5,2446254,-14.529865,145.5,,,,,
1760,0007-11-10 00:00:00,10.5,2446256,9.51791,135.20724,1012.9292183739,73270.58823529411,426.38062283737025,12610.169491525423,1.0755294117647058
1761,0007-11-11 00:00:00,10.5,2446779,10.468349,4.5,1008.3353200194,77229.06574394464,830.1730103806228,6169.4915254237285,1.0755294117647058
1762,0007-11-11 00:00:00,10.5,2446848,9.946759,21.957317,1009.1619094554001,86211.76470588235,676.8442906574396,9220.338983050848,1.0755294117647058
1763,0007-11-11 00:00:00,10.5,2446922,-10.229582,125.792752,,,,,
1764,0007-11-11 00:00:00,10.5,2446924,-17.881318,146.25,,,,,
1765,0007-11-11 00:00:00,10.5,2446926,12.370407,246.0,1005.0990961773,86211.76470588235,1275.7093425605535,6000.0,1.0755294117647058
1766,0007-11-12 00:00:00,10.5,2448748,-20.356648,152.45717,,,,,
1767,0007-11-13 00:00:00,10.5,2449786,-14.893971,122.25,,,,,
1768,0007-11-13 00:00:00,10.5,2449788,-11.933214,108.207321,,,,,
1769,0007-11-13 00:00:00,10.5,2449789,-8.558503,50.457257,,,,,
1770,0007-11-13 00:00:00,10.5,2449791,-24.774875,214.5,,,,,
1771,0007-11-13 00:00:00,10.5,2449793,-22.96654,160.5,,,,,
1772,0007-11-13 00:00:00,10.5,2449795,-8.243727,177.75,,,,,
1773,0007-11-14 00:00:00,10.5,2450897,-13.08745,104.457319,,,,,
1774,0007-11-14 00:00:00,10.5,2450899,-9.004991,48.20725,,,,,
1775,0007-11-14 00:00:00,10.5,2450901,9.423838,195.0,1004.9602805321999,88586.85121107266,955.4048442906574,6000.0,1.0755294117647058
1776,0007-11-15 00:00:00,10.5,2452909,-8.344392,60.75,,,,,
1777,0007-11-15 00:00:00,10.5,2452911,-8.127402,80.0427,,,,,
