,dt,sstlat,sstval,tid,clat,clon,psamb,dp [hPa],rmw_target,rmw_final,rp
564,0007-09-02 00:00:00,13.0,308.3,3985360,15.751004,18.313665486944025,101672.51941418987,892.7889273356401,,,114469.20415224912
565,0007-09-03 00:00:00,13.5,308.28,3994139,18.660898,139.43418329322492,101832.78825164137,913.6608996539792,,,112094.11764705881
566,0007-09-05 00:00:00,13.5,308.23,3999439,17.344985,157.42654586798298,101766.21637104619,1533.3979238754325,,,123969.55017301039
567,0007-09-06 00:00:00,13.0,308.3,4000903,11.64068,235.15136914730837,101404.45870950673,509.86851211072667,,,164376.47058823527
568,0007-09-07 00:00:00,13.0,308.29,4002197,16.442949,198.10959164999184,101608.75428898093,551.612456747405,,,73270.58823529411
569,0007-09-09 00:00:00,12.5,308.25,4006073,23.386686,348.40752436824255,102103.09768130838,997.1487889273357,,,306729.4117647059
570,0007-09-13 00:00:00,12.5,308.38,4012909,20.913062,328.0569869118937,102090.89042089204,871.916955017301,,,73270.58823529411
571,0007-09-16 00:00:00,12.0,308.5,4017980,15.692047,272.8854108489292,101889.11720564586,1254.8373702422145,,,190258.82352941178
572,0007-09-18 00:00:00,12.5,308.41,4021039,15.750842,74.59732134149537,101811.91638937885,593.3564013840831,,,293270.5882352941
573,0007-09-19 00:00:00,12.0,308.38,4022161,7.562293,29.724249543680287,101635.40231083431,593.3564013840831,,,242023.5294117647
574,0007-09-20 00:00:00,12.0,308.4,4023273,14.282297,256.9399752614226,101607.48926963533,551.612456747405,,,293788.2352941177
575,0007-09-23 00:00:00,12.0,308.45,4033470,8.63708,254.710219269121,101437.01146246924,1192.2214532871972,,,112611.76470588236
576,0007-09-25 00:00:00,11.5,308.42,4036687,16.610596,206.7934901194427,101633.92625931006,488.9965397923876,,,74062.28373702422
577,0007-09-26 00:00:00,11.5,308.41,4037740,11.064872,106.27842053075241,101709.50792304573,426.38062283737025,,,81187.54325259516
